Player,Team,Pos,Speed,Power,Speed+Power,Def Boost,EPM,EPM Off,EPM Def,Off -12,Off -11,Off -10,Off -9,Off -8,Off -7,Off -6,Off -5,Off -4,Off -3,Off -2,Off -1,Off +0,Off +1,Off +2,Off +3,Off +4,Off +5,Off +6,Off +7,Off +8,Off +9,Off +10,Off +11,Off +12,Off +13,Off +14,Off +15,Off +16,Off +17,Off +18,Total Advantages,Total Disadvantages,Neutral Matchups,Adv by Speed,Adv by Power,Adv by Both,Off Adv Magnitude,Off Dis Magnitude,Off Net Magnitude,Off Mean Roll Bonus,Off Max,Off Min,Off Blunted by Opp Def,Off Neutralised by Opp Def,Def -12,Def -11,Def -10,Def -9,Def -8,Def -7,Def -6,Def -5,Def -4,Def -3,Def -2,Def -1,Def +0,Def +1,Def +2,Def +3,Def +4,Def +5,Def +6,Def +7,Def +8,Def +9,Def +10,Def +11,Def +12,Def +13,Def +14,Def +15,Def +16,Def +17,Def +18,Advantages Allowed,Penalties Forced,Neutrals Allowed,Def Magnitude Allowed,Def Net Magnitude,Def Mean Allowed,Def Blunted (his Def Boost),Def Neutralised (his Def Boost),Net Edge,Budget Net Edge,Def Boost Credit,Net Edge z,EPM z,Residual,Off Residual,Def Residual
Joel Embiid,PHI,C,9,16,25,0,3.2368,2.8916,0.3452,0,0,0,0,0,0,0,0,0,0,2,3,12,11,7,17,24,29,47,30,51,40,31,27,13,7,2,0,0,0,0,336,5,12,0,186,150,2459,7,2452,6.9462,14,-2,125,7,0,0,0,0,0,1,5,10,15,35,51,49,46,36,19,29,19,16,11,6,3,2,0,0,0,0,0,0,0,0,0,141,166,46,467,64,0.1813,0,0,6.7649,7.119,-0.3541,1.392,1.4557,-0.0638,0.2859,0.4223
Kon Knueppel,CHA,SF,13,11,24,0,2.6258,2.8642,-0.2384,0,0,0,0,0,0,0,0,0,0,2,1,21,35,25,46,54,50,52,38,13,10,5,1,0,0,0,0,0,0,0,329,3,21,81,46,202,1522,5,1517,4.2975,11,-2,126,15,0,0,0,2,7,10,19,24,32,46,33,46,37,36,25,15,7,9,2,1,1,1,0,0,0,0,0,0,0,0,0,97,219,37,240,-516,-1.4618,0,0,5.7592,6.1161,-0.3569,1.1876,1.1969,-0.0093,-0.6731,1.6318
Kelly Oubre Jr.,IND,SF,8,8,16,0,-1.0951,-0.7952,-0.2999,0,0,0,0,0,1,0,2,9,14,33,47,77,59,51,31,16,10,3,0,0,0,0,0,0,0,0,0,0,0,0,170,106,77,50,63,57,386,208,178,0.5042,6,-7,38,23,0,0,0,0,0,0,0,2,7,9,15,25,40,36,52,33,40,32,25,14,13,5,3,1,1,0,0,0,0,0,0,255,58,40,1009,889,2.5184,0,0,-2.0142,-1.9065,-0.1076,-0.3916,-0.3795,-0.0122,-0.1597,-0.0377
Zach LaVine,SAC,SG,11,8,19,-2,0.1526,1.7755,-1.623,0,0,0,0,0,0,0,1,2,2,22,29,48,50,41,50,44,35,13,10,5,1,0,0,0,0,0,0,0,0,0,249,56,48,129,19,101,830,92,738,2.0907,9,-5,84,23,0,0,0,0,0,0,2,7,12,21,32,38,39,36,44,41,30,21,12,6,7,2,1,1,1,0,0,0,0,0,0,202,112,39,693,433,1.2266,0,0,0.864,1.102,-0.238,0.1931,0.1491,0.044,-0.9166,1.6516
Tyler Herro,MIL,SG,14,10,24,-1,2.2194,3.0698,-0.8504,0,0,0,0,0,0,0,0,0,1,1,3,32,19,29,37,40,41,43,43,35,13,10,5,1,0,0,0,0,0,0,316,5,32,115,11,190,1676,8,1668,4.7252,12,-3,127,17,0,0,0,0,2,7,13,26,37,36,44,35,47,35,26,18,11,4,7,2,1,1,1,0,0,0,0,0,0,0,0,106,200,47,288,-364,-1.0312,0,0,5.7564,6.1161,-0.3598,1.1871,1.0247,0.1623,-0.6231,1.9684
Anthony Davis,WAS,PF,9,16,25,2,3.2607,1.6041,1.6565,0,0,0,0,0,0,0,0,0,0,2,3,12,11,7,17,24,29,47,30,51,40,31,27,13,7,2,0,0,0,0,336,5,12,0,186,150,2459,7,2452,6.9462,14,-2,125,7,0,0,0,0,0,1,5,10,15,35,51,49,101,29,19,16,11,6,3,2,0,0,0,0,0,0,0,0,0,0,0,86,166,101,221,-182,-0.5156,246,55,7.4618,7.119,0.3428,1.5335,1.4659,0.0677,0.9569,-0.3965
Andrew Nembhard,IND,PG,12,7,19,-1,-0.0545,1.1169,-1.1714,0,0,0,0,0,0,0,2,0,10,21,19,47,24,41,39,43,43,35,13,10,5,1,0,0,0,0,0,0,0,0,254,52,47,174,0,80,1046,101,945,2.6771,10,-5,93,17,0,0,0,0,0,0,0,2,7,13,29,36,42,45,32,49,33,22,18,9,4,7,2,1,1,1,0,0,0,0,0,224,87,42,820,649,1.8385,0,0,0.8385,1.102,-0.2635,0.1879,0.0614,0.1266,-0.3579,1.001
Rudy Gobert,MIN,C,8,14,22,3,1.5968,-1.0517,2.6485,0,0,0,0,0,0,0,0,1,2,3,9,20,16,25,29,47,30,51,40,31,27,13,7,2,0,0,0,0,0,0,318,15,20,1,211,106,1799,25,1774,5.0255,12,-4,106,13,0,0,0,0,0,0,1,5,10,15,35,49,152,28,19,17,11,6,3,2,0,0,0,0,0,0,0,0,0,0,0,86,115,152,223,-12,-0.034,441,102,5.0595,4.1105,0.949,1.0455,0.7609,0.2845,1.6354,-1.4524
DeMar DeRozan,SAC,PF,8,8,16,-2,-1.0557,1.2792,-2.3349,0,0,0,0,0,1,0,2,9,14,33,47,77,59,51,31,16,10,3,0,0,0,0,0,0,0,0,0,0,0,0,170,106,77,50,63,57,386,208,178,0.5042,6,-7,38,23,0,0,0,0,0,0,0,2,7,9,15,25,40,36,52,33,40,32,25,14,13,5,3,1,1,0,0,0,0,0,0,255,58,40,1009,889,2.5184,0,0,-2.0142,-1.9065,-0.1076,-0.3916,-0.3628,-0.0288,-1.2408,1.701
Saddiq Bey,NOP,SF,10,10,20,-1,0.5598,1.5041,-0.9443,0,0,0,0,0,0,0,1,0,2,9,14,61,39,57,59,51,31,16,10,3,0,0,0,0,0,0,0,0,0,0,266,26,61,65,77,124,879,43,836,2.3683,8,-5,88,29,0,0,0,0,0,2,7,9,15,25,41,36,51,33,40,32,25,14,13,5,3,1,1,0,0,0,0,0,0,0,0,167,135,51,535,181,0.5127,0,0,1.8555,2.1048,-0.2493,0.3945,0.3216,0.0729,-0.6731,1.3807
Jimmy Butler,GSW,SF,12,13,25,0,3.467,3.161,0.306,0,0,0,0,0,0,0,0,0,0,1,1,19,15,26,42,42,60,59,35,28,15,8,2,0,0,0,0,0,0,0,332,2,19,31,78,223,1721,3,1718,4.8669,11,-2,134,15,0,0,0,3,9,9,16,37,36,49,45,32,38,26,19,18,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,79,236,38,195,-661,-1.8725,0,0,6.7394,7.119,-0.3796,1.3868,1.5533,-0.1665,-0.6186,1.3444
Karl-Anthony Towns,NYK,C,10,17,27,2,4.368,2.8394,1.5286,0,0,0,0,0,0,0,0,0,0,0,2,8,7,11,7,17,24,29,47,30,51,40,31,27,13,7,2,0,0,0,343,2,8,1,154,188,2802,2,2800,7.932,15,-1,131,6,0,0,0,0,1,5,10,15,35,51,49,47,83,19,16,11,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,57,213,83,135,-481,-1.3626,191,48,9.2946,9.1246,0.17,1.9059,1.935,-0.0291,0.6753,0.0793
De'Aaron Fox,SAS,PG,15,9,24,0,2.3077,1.8368,0.4709,0,0,0,0,0,0,0,0,0,1,1,5,25,16,22,29,24,41,39,43,43,35,13,10,5,1,0,0,0,0,0,321,7,25,150,3,168,1955,10,1945,5.5099,13,-3,133,15,0,0,0,0,0,2,7,13,29,37,46,42,36,49,29,22,16,9,4,7,2,1,1,1,0,0,0,0,0,0,0,141,176,36,401,-81,-0.2295,0,0,5.7394,6.1161,-0.3768,1.1836,1.0621,0.1215,0.3079,0.4926
Miles Bridges,PHX,PF,9,11,20,-1,0.7177,1.3359,-0.6182,0,0,0,0,0,0,0,0,1,3,7,12,54,45,41,65,44,30,29,13,7,2,0,0,0,0,0,0,0,0,0,276,23,54,28,126,122,987,39,948,2.6856,9,-4,83,25,0,0,0,0,0,1,3,11,9,23,34,50,42,46,29,34,21,23,13,7,4,3,0,0,0,0,0,0,0,0,0,180,131,42,591,288,0.8159,0,0,1.8697,2.1048,-0.2351,0.3974,0.3885,0.0089,-0.4689,0.9709
Onyeka Okongwu,ATL,C,8,12,20,0,0.4676,0.1157,0.3519,0,0,0,0,0,0,0,0,1,4,8,16,38,32,51,32,51,40,31,27,13,7,2,0,0,0,0,0,0,0,0,286,29,38,9,179,98,1196,48,1148,3.2521,10,-4,85,18,0,0,0,0,0,0,1,5,10,13,31,45,49,46,38,20,34,20,17,12,7,3,2,0,0,0,0,0,0,0,0,199,105,49,707,490,1.3881,0,0,1.864,2.1048,-0.2408,0.3963,0.2826,0.1137,0.3753,-0.1055
P.J. Washington,DAL,PF,7,9,16,1,-1.0688,-1.8103,0.7415,0,0,0,0,0,0,1,3,7,12,30,48,62,65,44,30,29,13,7,2,0,0,0,0,0,0,0,0,0,0,0,190,101,62,19,126,45,480,193,287,0.813,7,-6,36,10,0,0,0,0,0,0,0,1,3,11,9,23,83,43,46,29,34,21,23,13,7,4,3,0,0,0,0,0,0,0,0,223,47,83,814,723,2.0482,273,50,-1.2351,-1.9065,0.6714,-0.2334,-0.3683,0.135,0.4829,-0.724
Stephen Curry,GSW,PG,18,10,28,-1,5.0016,5.6168,-0.6153,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,17,13,22,29,24,41,39,43,43,35,13,10,5,1,0,0,351,0,2,150,0,201,2982,0,2982,8.4476,16,0,146,1,0,0,0,0,2,7,13,29,37,46,46,37,47,27,21,16,9,4,7,2,1,1,1,0,0,0,0,0,0,0,0,89,217,47,256,-447,-1.2663,0,0,9.7139,10.1275,-0.4136,1.9911,2.2034,-0.2123,-0.5829,1.8693
Paul George,BOS,PF,10,12,22,1,1.2648,0.1701,1.0947,0,0,0,0,0,0,0,0,0,1,3,7,36,30,45,41,65,44,30,29,13,7,2,0,0,0,0,0,0,0,0,306,11,36,29,117,160,1293,16,1277,3.6176,10,-3,108,25,0,0,0,0,1,3,11,9,23,34,50,43,74,34,21,23,13,7,4,3,0,0,0,0,0,0,0,0,0,0,0,105,174,74,277,-200,-0.5666,134,29,4.1841,4.1105,0.0737,0.8676,0.6203,0.2473,0.4812,0.1056
Devin Vassell,SAS,SG,14,9,23,1,1.8811,1.0201,0.861,0,0,0,0,0,0,0,0,0,2,0,10,32,21,34,24,41,39,43,43,35,13,10,5,1,0,0,0,0,0,0,309,12,32,138,4,167,1643,16,1627,4.6091,12,-3,119,12,0,0,0,0,0,2,7,13,29,36,43,45,80,33,22,18,9,4,7,2,1,1,1,0,0,0,0,0,0,0,0,98,175,80,270,-206,-0.5836,147,49,5.1926,5.1133,0.0793,1.0725,0.8814,0.1911,0.4025,0.3126
Cameron Johnson,DEN,SF,10,10,20,0,0.7489,0.906,-0.1572,0,0,0,0,0,0,0,1,0,2,9,14,61,39,57,59,51,31,16,10,3,0,0,0,0,0,0,0,0,0,0,266,26,61,65,77,124,879,43,836,2.3683,8,-5,88,29,0,0,0,0,0,2,7,9,15,25,41,36,51,33,40,32,25,14,13,5,3,1,1,0,0,0,0,0,0,0,0,167,135,51,535,181,0.5127,0,0,1.8555,2.1048,-0.2493,0.3945,0.4017,-0.0072,-0.3614,0.7081
Dillon Brooks,PHX,SF,10,11,21,0,0.8111,0.5433,0.2677,0,0,0,0,0,0,0,0,1,1,5,9,46,42,42,60,59,35,28,15,8,2,0,0,0,0,0,0,0,0,0,291,16,46,43,102,146,1072,26,1046,2.9632,9,-4,98,28,0,0,0,0,0,3,9,9,16,37,36,49,44,32,39,26,19,18,8,4,3,1,0,0,0,0,0,0,0,0,0,150,159,44,463,47,0.1331,0,0,2.83,3.1076,-0.2776,0.5925,0.4281,0.1645,0.0462,0.5094
Donte DiVincenzo,MIN,SG,14,9,23,1,1.7576,1.0162,0.7414,0,0,0,0,0,0,0,0,0,2,0,10,32,21,34,24,41,39,43,43,35,13,10,5,1,0,0,0,0,0,0,309,12,32,138,4,167,1643,16,1627,4.6091,12,-3,119,12,0,0,0,0,0,2,7,13,29,36,43,45,80,33,22,18,9,4,7,2,1,1,1,0,0,0,0,0,0,0,0,98,175,80,270,-206,-0.5836,147,49,5.1926,5.1133,0.0793,1.0725,0.8291,0.2434,0.4045,0.4147
Brandon Miller,CHA,SF,13,12,25,1,3.4838,2.4722,1.0115,0,0,0,0,0,0,0,0,0,0,1,1,17,17,35,33,52,59,51,50,18,11,7,1,0,0,0,0,0,0,0,334,2,17,57,51,226,1669,3,1666,4.7195,11,-2,132,13,0,0,0,6,8,12,24,26,43,41,41,42,64,19,10,10,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,46,243,64,103,-792,-2.2436,77,31,6.9632,7.119,-0.1558,1.4322,1.5604,-0.1281,-0.3137,0.9022
Jaren Jackson Jr.,UTA,C,8,13,21,2,1.205,-0.3116,1.5166,0,0,0,0,0,0,0,0,1,2,5,13,27,26,31,47,30,51,40,31,27,13,7,2,0,0,0,0,0,0,0,305,21,27,4,198,103,1486,33,1453,4.1161,11,-4,95,13,0,0,0,0,0,0,1,5,10,15,33,48,128,25,29,19,17,12,6,3,2,0,0,0,0,0,0,0,0,0,0,113,112,128,341,111,0.3144,340,78,3.8017,3.1076,0.6941,0.7899,0.595,0.195,0.9155,-0.636
RJ Barrett,TOR,SF,12,10,22,-1,1.5106,2.0569,-0.5462,0,0,0,0,0,0,0,0,0,2,1,7,49,25,46,54,50,52,38,13,10,5,1,0,0,0,0,0,0,0,0,294,10,49,93,40,161,1193,15,1178,3.3371,10,-3,111,20,0,0,0,0,2,7,10,19,24,32,46,33,45,38,36,25,15,7,9,2,1,1,1,0,0,0,0,0,0,0,0,135,173,45,375,-162,-0.4589,0,0,3.796,4.1105,-0.3144,0.7888,0.7244,0.0644,-0.6052,1.461
Andrew Wiggins,MIA,SF,10,9,19,0,0.3145,0.2288,0.0856,0,0,0,0,0,0,0,1,1,5,13,27,57,52,59,51,50,18,11,7,1,0,0,0,0,0,0,0,0,0,0,249,47,57,78,60,111,736,77,659,1.8669,8,-5,77,25,0,0,0,0,0,0,6,8,12,24,26,43,40,41,42,34,31,19,10,10,4,1,1,1,0,0,0,0,0,0,0,194,119,40,638,347,0.983,0,0,0.8839,1.102,-0.2181,0.1971,0.2177,-0.0206,-0.1927,0.2972
Josh Hart,NYK,SF,12,9,21,1,0.9697,0.0943,0.8754,0,0,0,0,0,0,0,0,1,2,2,22,44,33,50,41,50,44,35,13,10,5,1,0,0,0,0,0,0,0,0,282,27,44,111,28,143,1112,36,1076,3.0482,10,-4,100,16,0,0,0,0,0,2,7,12,21,32,38,40,79,41,30,21,12,6,7,2,1,1,1,0,0,0,0,0,0,0,0,122,152,79,325,-87,-0.2465,166,44,3.2946,3.1076,0.187,0.6869,0.4953,0.1917,0.3115,0.1545
Ivica Zubac,IND,C,7,12,19,0,0.0226,0.1761,-0.1535,0,0,0,0,0,0,0,1,2,5,13,15,38,31,47,30,51,40,31,27,13,7,2,0,0,0,0,0,0,0,0,279,36,38,2,215,62,1181,69,1112,3.1501,10,-5,82,16,0,0,0,0,0,0,0,1,5,10,15,33,47,51,42,36,25,29,19,17,12,6,3,2,0,0,0,0,0,0,0,242,64,47,923,805,2.2805,0,0,0.8697,1.102,-0.2323,0.1943,0.0941,0.1002,0.3063,-0.0598
Franz Wagner,ORL,SF,12,13,25,1,3.0238,1.9807,1.0431,0,0,0,0,0,0,0,0,0,0,1,1,19,15,26,42,42,60,59,35,28,15,8,2,0,0,0,0,0,0,0,332,2,19,31,78,223,1721,3,1718,4.8669,11,-2,134,15,0,0,0,3,9,9,16,37,36,49,45,32,64,19,18,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,53,236,64,116,-740,-2.0963,79,26,6.9632,7.119,-0.1558,1.4322,1.3655,0.0667,-0.0034,0.8115
Bennedict Mathurin,LAC,SF,8,7,15,-1,-1.597,-0.8392,-0.7578,0,0,0,0,0,1,1,5,13,27,33,49,86,51,50,18,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,138,129,86,58,31,49,290,286,4,0.0113,6,-7,24,17,0,0,0,0,0,0,0,0,6,8,12,24,25,43,41,41,42,34,31,19,10,10,4,1,1,1,0,0,0,0,0,278,50,25,1151,1055,2.9887,0,0,-2.9773,-2.9093,-0.068,-0.5873,-0.5921,0.0048,-0.3178,0.15
Stephon Castle,SAS,PG,14,10,24,1,2.3441,0.9986,1.3455,0,0,0,0,0,0,0,0,0,1,1,3,32,19,29,37,40,41,43,43,35,13,10,5,1,0,0,0,0,0,0,316,5,32,115,11,190,1676,8,1668,4.7252,12,-3,127,17,0,0,0,0,2,7,13,26,37,36,44,35,82,26,18,11,4,7,2,1,1,1,0,0,0,0,0,0,0,0,0,71,200,82,182,-470,-1.3314,106,35,6.0567,6.1161,-0.0595,1.2481,1.0775,0.1705,0.4564,0.2222
Darius Garland,LAC,PG,14,8,22,-1,1.4514,2.138,-0.6867,0,0,0,0,0,0,0,0,1,1,5,11,30,22,29,24,41,39,43,43,35,13,10,5,1,0,0,0,0,0,0,305,18,30,185,0,120,1634,28,1606,4.5496,12,-4,118,11,0,0,0,0,0,0,2,7,13,29,37,46,41,37,49,29,22,16,9,4,7,2,1,1,1,0,0,0,0,0,0,178,134,41,579,273,0.7734,0,0,3.7762,4.1105,-0.3343,0.7848,0.6993,0.0854,-0.202,1.0478
CJ McCollum,ATL,PG,13,8,21,0,1.192,1.2816,-0.0895,0,0,0,0,0,0,0,0,2,0,10,21,32,34,24,41,39,43,43,35,13,10,5,1,0,0,0,0,0,0,0,288,33,32,168,5,115,1334,49,1285,3.6402,11,-4,107,14,0,0,0,0,0,0,2,7,13,29,36,43,44,32,49,33,22,18,9,4,7,2,1,1,1,0,0,0,0,0,0,179,130,44,596,295,0.8357,0,0,2.8045,3.1076,-0.3031,0.5874,0.5895,-0.0021,-0.0898,0.5106
Anthony Black,ORL,PG,11,7,18,1,-0.4156,-1.0189,0.6033,0,0,0,0,0,0,1,1,3,16,20,30,51,40,41,43,43,35,13,10,5,1,0,0,0,0,0,0,0,0,0,231,71,51,151,1,79,795,141,654,1.8527,9,-6,79,22,0,0,0,0,0,0,0,2,7,13,26,37,79,35,48,35,26,18,11,4,7,2,1,1,1,0,0,0,0,0,0,189,85,79,631,465,1.3173,233,44,0.5354,0.0992,0.4363,0.1263,-0.0916,0.218,0.4524,-0.2896
Zion Williamson,NOP,PF,9,13,22,0,1.348,1.5454,-0.1974,0,0,0,0,0,0,0,0,0,1,4,8,32,22,32,51,32,51,40,31,27,13,7,2,0,0,0,0,0,0,0,308,13,32,7,158,143,1504,19,1485,4.2068,11,-3,102,17,0,0,0,0,0,1,5,10,13,31,45,50,45,38,20,34,20,17,12,7,3,2,0,0,0,0,0,0,0,0,0,153,155,45,508,136,0.3853,0,0,3.8215,4.1105,-0.289,0.794,0.6556,0.1384,-0.0191,0.7977
Jerami Grant,MEM,PF,9,9,18,-1,-0.1715,0.9038,-1.0753,0,0,0,0,0,0,1,0,2,9,14,33,67,57,59,51,31,16,10,3,0,0,0,0,0,0,0,0,0,0,0,227,59,67,56,77,94,613,102,511,1.4476,7,-6,59,21,0,0,0,0,0,0,2,7,9,15,25,41,35,52,33,40,32,25,14,13,5,3,1,1,0,0,0,0,0,0,0,219,99,35,754,535,1.5156,0,0,-0.068,0.0992,-0.1671,0.0038,0.0118,-0.008,-0.6985,1.0587
Domantas Sabonis,SAC,C,9,15,24,0,2.1841,1.8886,0.2955,0,0,0,0,0,0,0,0,0,1,2,3,21,8,16,25,29,47,30,51,40,31,27,13,7,2,0,0,0,0,0,326,6,21,1,176,149,2125,10,2115,5.9915,13,-3,119,13,0,0,0,0,0,1,5,10,15,35,49,51,40,41,20,28,19,17,11,6,3,2,0,0,0,0,0,0,0,0,0,147,166,40,476,75,0.2125,0,0,5.779,6.1161,-0.3371,1.1917,1.0098,0.1819,0.4578,0.4513
Aaron Nesmith,IND,SF,9,8,17,0,-0.7388,-0.2756,-0.4632,0,0,0,0,0,0,1,1,5,13,27,33,76,59,51,50,18,11,7,1,0,0,0,0,0,0,0,0,0,0,0,197,80,76,77,47,73,487,157,330,0.9348,7,-6,52,28,0,0,0,0,0,0,0,6,8,12,24,26,42,41,41,42,34,31,19,10,10,4,1,1,1,0,0,0,0,0,0,235,76,42,873,701,1.9858,0,0,-1.051,-0.9037,-0.1473,-0.196,-0.2285,0.0326,-0.2722,0.3323
Norman Powell,CHI,SG,13,9,22,0,1.5419,1.8874,-0.3455,0,0,0,0,0,0,0,0,1,1,3,16,35,29,37,40,41,43,43,35,13,10,5,1,0,0,0,0,0,0,0,297,21,35,126,14,157,1360,29,1331,3.7705,11,-4,110,16,0,0,0,0,0,2,7,13,26,37,36,44,34,48,35,26,18,11,4,7,2,1,1,1,0,0,0,0,0,0,0,154,165,34,442,-10,-0.0283,0,0,3.7989,4.1105,-0.3116,0.7894,0.7377,0.0517,-0.3576,1.1031
Peyton Watson,CLE,SF,10,9,19,0,-0.013,0.2367,-0.2497,0,0,0,0,0,0,0,1,1,5,13,27,57,52,59,51,50,18,11,7,1,0,0,0,0,0,0,0,0,0,0,249,47,57,78,60,111,736,77,659,1.8669,8,-5,77,25,0,0,0,0,0,0,6,8,12,24,26,43,40,41,42,34,31,19,10,10,4,1,1,1,0,0,0,0,0,0,0,194,119,40,638,347,0.983,0,0,0.8839,1.102,-0.2181,0.1971,0.079,0.1182,-0.1968,0.5837
Naji Marshall,DAL,SF,9,9,18,0,-0.2427,-0.3005,0.0577,0,0,0,0,0,0,1,0,2,9,14,33,67,57,59,51,31,16,10,3,0,0,0,0,0,0,0,0,0,0,0,227,59,67,56,77,94,613,102,511,1.4476,7,-6,59,21,0,0,0,0,0,0,2,7,9,15,25,41,35,52,33,40,32,25,14,13,5,3,1,1,0,0,0,0,0,0,0,219,99,35,754,535,1.5156,0,0,-0.068,0.0992,-0.1671,0.0038,-0.0184,0.0221,-0.0709,0.0907
Shaedon Sharpe,POR,SG,10,6,16,-1,-1.2823,-0.4731,-0.8092,0,0,0,0,0,1,1,3,16,20,30,30,61,41,43,43,35,13,10,5,1,0,0,0,0,0,0,0,0,0,0,191,101,61,142,2,47,564,242,322,0.9122,8,-7,57,25,0,0,0,0,0,0,0,0,2,7,13,26,36,36,44,35,48,35,26,18,11,4,7,2,1,1,1,0,0,0,0,269,48,36,1133,1052,2.9802,0,0,-2.068,-1.9065,-0.1615,-0.4026,-0.4588,0.0562,-0.1776,0.1976
Jrue Holiday,POR,PG,14,9,23,1,1.8836,1.2902,0.5934,0,0,0,0,0,0,0,0,0,2,0,10,32,21,34,24,41,39,43,43,35,13,10,5,1,0,0,0,0,0,0,309,12,32,138,4,167,1643,16,1627,4.6091,12,-3,119,12,0,0,0,0,0,2,7,13,29,36,43,45,80,33,22,18,9,4,7,2,1,1,1,0,0,0,0,0,0,0,0,98,175,80,270,-206,-0.5836,147,49,5.1926,5.1133,0.0793,1.0725,0.8825,0.1901,0.2617,0.5412
Quentin Grimes,LAL,SG,9,7,16,0,-1.2119,-1.0165,-0.1953,0,0,0,0,0,0,2,1,7,30,24,37,83,50,52,38,13,10,5,1,0,0,0,0,0,0,0,0,0,0,0,169,101,83,89,19,61,407,220,187,0.5297,7,-6,40,24,0,0,0,0,0,0,0,2,7,10,19,24,31,46,33,46,38,36,25,15,7,9,2,1,1,1,0,0,0,0,0,260,62,31,1030,900,2.5496,0,0,-2.0198,-1.9065,-0.1133,-0.3928,-0.4289,0.0362,-0.0349,-0.1405
Wendell Carter Jr.,ORL,C,7,14,21,1,1.0339,-0.1252,1.1591,0,0,0,0,0,0,0,0,2,3,6,5,19,17,24,29,47,30,51,40,31,27,13,7,2,0,0,0,0,0,0,318,16,19,1,254,63,1798,34,1764,4.9972,12,-4,105,12,0,0,0,0,0,0,0,1,5,10,15,35,99,47,36,19,29,19,16,11,6,3,2,0,0,0,0,0,0,0,0,188,66,99,655,535,1.5156,237,49,3.4816,3.1076,0.3739,0.7249,0.5225,0.2024,1.142,-0.8503
Victor Wembanyama,SAS,C,11,19,30,5,8.9277,4.0309,4.8968,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,6,11,8,16,24,29,47,30,51,40,31,27,13,7,2,0,348,0,5,0,118,230,3493,0,3493,9.8952,17,0,142,5,0,0,0,1,5,10,15,36,50,50,46,36,99,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,249,99,7,-860,-2.4363,212,80,12.3314,12.1331,0.1983,2.5229,3.8667,-1.3438,0.7756,-2.3338
Matas Buzelis,CHI,PF,8,10,18,0,-0.2126,-0.1396,-0.073,0,0,0,0,0,0,0,1,3,7,12,30,69,41,65,44,30,29,13,7,2,0,0,0,0,0,0,0,0,0,0,231,53,69,30,124,77,711,92,619,1.7535,8,-5,58,22,0,0,0,0,0,0,1,3,11,9,23,34,49,43,46,29,34,21,23,13,7,4,3,0,0,0,0,0,0,0,0,223,81,49,814,642,1.8187,0,0,-0.0652,0.0992,-0.1643,0.0043,-0.0056,0.0099,-0.0423,0.0712
Max Christie,DAL,SG,10,6,16,0,-1.1729,-0.7468,-0.426,0,0,0,0,0,1,1,3,16,20,30,30,61,41,43,43,35,13,10,5,1,0,0,0,0,0,0,0,0,0,0,191,101,61,142,2,47,564,242,322,0.9122,8,-7,57,25,0,0,0,0,0,0,0,0,2,7,13,26,36,36,44,35,48,35,26,18,11,4,7,2,1,1,1,0,0,0,0,269,48,36,1133,1052,2.9802,0,0,-2.068,-1.9065,-0.1615,-0.4026,-0.4124,0.0099,-0.035,-0.1297
A.J. Green,MIL,SG,10,6,16,-2,-1.3216,0.2278,-1.5494,0,0,0,0,0,1,1,3,16,20,30,30,61,41,43,43,35,13,10,5,1,0,0,0,0,0,0,0,0,0,0,191,101,61,142,2,47,564,242,322,0.9122,8,-7,57,25,0,0,0,0,0,0,0,0,2,7,13,26,36,36,44,35,48,35,26,18,11,4,7,2,1,1,1,0,0,0,0,269,48,36,1133,1052,2.9802,0,0,-2.068,-1.9065,-0.1615,-0.4026,-0.4755,0.0729,-0.5429,0.8301
Russell Westbrook,SAC,SF,10,7,17,-1,-0.6681,-0.0437,-0.6244,0,0,0,0,0,0,1,2,2,22,29,26,72,41,50,44,35,13,10,5,1,0,0,0,0,0,0,0,0,0,0,199,82,72,119,10,70,581,174,407,1.153,8,-6,61,28,0,0,0,0,0,0,0,2,7,12,21,32,37,40,36,44,41,30,21,12,6,7,2,1,1,1,0,0,0,0,0,242,74,37,935,787,2.2295,0,0,-1.0765,-0.9037,-0.1728,-0.2011,-0.1986,-0.0026,-0.313,0.3646
Kyshawn George,WAS,SF,8,9,17,0,-0.6401,-0.3502,-0.2899,0,0,0,0,0,0,1,1,5,9,19,45,66,60,59,35,28,15,8,2,0,0,0,0,0,0,0,0,0,0,0,207,80,66,36,100,71,532,141,391,1.1076,7,-6,45,16,0,0,0,0,0,0,0,3,9,9,16,37,35,49,45,32,39,26,19,18,8,4,3,1,0,0,0,0,0,0,0,244,74,35,902,755,2.1388,0,0,-1.0312,-0.9037,-0.1275,-0.1919,-0.1867,-0.0052,-0.1699,0.118
